,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
28,28,41.666666666666664,2025-05-26 00:58:00.246963,2025-05-26 00:58:09.879244,0 days 00:00:09.632281,Adam,0.12809303936696573,,0.01176021255248222,,,,,31,,0.014236305881279616,,,PRUNED
29,29,29.166666666666668,2025-05-26 00:58:09.911146,2025-05-26 00:58:14.216976,0 days 00:00:04.305830,Adadelta,0.07760557345916955,0.0163326397242079,,,,,,12,0.010094931633979147,,,,PRUNED
30,30,39.583333333333336,2025-05-26 00:58:14.248527,2025-05-26 00:58:23.921056,0 days 00:00:09.672529,AdamW,0.031425974509242734,,,0.0006426353227014298,,,,18,,,0.0004622033892985007,,COMPLETE
31,31,43.75,2025-05-26 00:58:23.968358,2025-05-26 00:58:33.522729,0 days 00:00:09.554371,AdamW,0.4995585211686969,,,0.0025668830270957842,,,,15,,,0.00018323249985097812,,COMPLETE
32,32,31.25,2025-05-26 00:58:33.569112,2025-05-26 00:58:43.168067,0 days 00:00:09.598955,AdamW,0.41083964159057235,,,0.00907712075277462,,,,14,,,0.00020086214933449077,,COMPLETE
33,33,33.333333333333336,2025-05-26 00:58:43.212429,2025-05-26 00:58:52.850502,0 days 00:00:09.638073,AdamW,0.3173139921664575,,,0.002939158805465926,,,,7,,,0.00010206063958466357,,COMPLETE
34,34,35.416666666666664,2025-05-26 00:58:52.951285,2025-05-26 00:59:04.038200,0 days 00:00:11.086915,AdamW,0.43392474200945563,,,0.0021112988006352306,,,,5,,,0.00027128939961511354,,COMPLETE
35,35,35.416666666666664,2025-05-26 00:59:04.085286,2025-05-26 00:59:13.706735,0 days 00:00:09.621449,Adam,0.3064773045952088,,1.3189728028275134e-05,,,,,11,,89.03542421807131,,,COMPLETE
36,36,37.5,2025-05-26 00:59:13.754678,2025-05-26 00:59:23.449788,0 days 00:00:09.695110,AdamW,0.20283177870205737,,,0.0004174350304573245,,,,17,,,0.00015447902190799745,,COMPLETE
37,37,33.333333333333336,2025-05-26 00:59:23.496461,2025-05-26 00:59:33.016002,0 days 00:00:09.519541,Adadelta,0.3686387619219607,0.21514314769815227,,,,,,14,0.7057070426433971,,,,COMPLETE
