,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
28,28,33.333333333333336,2025-05-25 10:09:36.470632,2025-05-25 10:09:42.390908,0 days 00:00:05.920276,AdamW,0.24188355223985702,,,0.0003648363846844233,,,,2,,,0.004126991221962181,,PRUNED
29,29,33.333333333333336,2025-05-25 10:09:42.424783,2025-05-25 10:09:48.361167,0 days 00:00:05.936384,Adadelta,0.2231993814100855,64.45644666931992,,,,,,5,0.01286892803974938,,,,PRUNED
30,30,35.416666666666664,2025-05-25 10:09:48.397470,2025-05-25 10:09:54.382327,0 days 00:00:05.984857,AdamW,0.15502842471462705,,,3.777975437849437e-05,,,,5,,,0.001544948888891324,,PRUNED
31,31,33.333333333333336,2025-05-25 10:09:54.416794,2025-05-25 10:10:00.377069,0 days 00:00:05.960275,AdamW,0.13996812746114407,,,5.430804097462278e-05,,,,4,,,0.0012490142268242806,,PRUNED
32,32,35.416666666666664,2025-05-25 10:10:00.412946,2025-05-25 10:10:06.335089,0 days 00:00:05.922143,AdamW,0.11129153576191063,,,3.195232538086553e-05,,,,4,,,0.005651460551742822,,PRUNED
33,33,47.916666666666664,2025-05-25 10:10:06.370549,2025-05-25 10:10:17.693783,0 days 00:00:11.323234,AdamW,0.29169789942567037,,,0.00015398329437817386,,,,3,,,0.0021799372706884186,,PRUNED
34,34,52.083333333333336,2025-05-25 10:10:17.730420,2025-05-25 10:10:28.923852,0 days 00:00:11.193432,AdamW,0.06803668022402384,,,2.8083433326867697e-05,,,,6,,,0.0008403991127384979,,COMPLETE
35,35,33.333333333333336,2025-05-25 10:10:28.974236,2025-05-25 10:10:34.942857,0 days 00:00:05.968621,Adadelta,0.1703958190593637,0.019088210580947403,,,,,,2,0.013380939940168727,,,,PRUNED
36,36,29.166666666666668,2025-05-25 10:10:34.978284,2025-05-25 10:10:40.899461,0 days 00:00:05.921177,AdamW,0.21834605831927242,,,8.378763988031478e-05,,,,5,,,0.00010433696140601205,,PRUNED
37,37,,2025-05-25 10:10:40.935160,2025-05-25 10:10:46.249105,0 days 00:00:05.313945,SGD,0.04721737775545698,,,,1.0144058778624823e-05,95.45733560554316,False,7,,,,14.688686511696513,PRUNED
38,38,33.333333333333336,2025-05-25 10:10:46.282539,2025-05-25 10:10:52.273005,0 days 00:00:05.990466,AdamW,0.2414339135252332,,,0.0005080405898545492,,,,4,,,0.006498758589204362,,PRUNED
39,39,33.333333333333336,2025-05-25 10:10:52.307931,2025-05-25 10:10:58.269596,0 days 00:00:05.961665,Adadelta,0.1377395650453972,0.2697998746826366,,,,,,2,1.2731205051110535,,,,PRUNED
40,40,60.416666666666664,2025-05-25 10:10:58.305022,2025-05-25 10:11:09.500851,0 days 00:00:11.195829,AdamW,0.2871574055686184,,,2.147762049493491e-05,,,,0,,,0.003720561311304489,,COMPLETE
41,41,35.416666666666664,2025-05-25 10:11:09.551230,2025-05-25 10:11:15.532231,0 days 00:00:05.981001,AdamW,0.2978564232554323,,,2.294445495177369e-05,,,,0,,,0.0039468726219332425,,PRUNED
42,42,50.0,2025-05-25 10:11:15.569036,2025-05-25 10:11:26.849523,0 days 00:00:11.280487,AdamW,0.2585851953593351,,,2.6764015585258727e-05,,,,1,,,0.001977107177090047,,COMPLETE
43,43,35.416666666666664,2025-05-25 10:11:26.899848,2025-05-25 10:11:32.967783,0 days 00:00:06.067935,AdamW,0.3678568872784426,,,1.0489812464088019e-05,,,,0,,,0.0070171110314307256,,PRUNED
44,44,50.0,2025-05-25 10:11:33.004217,2025-05-25 10:11:44.227664,0 days 00:00:11.223447,AdamW,0.4126624024590751,,,9.446574617683816e-05,,,,5,,,0.004039439928631255,,COMPLETE
45,45,,2025-05-25 10:11:44.278009,2025-05-25 10:11:49.448591,0 days 00:00:05.170582,SGD,0.2866106776330739,,,,0.07697336416909212,50.556122432111465,False,3,,,,0.014941059416646479,PRUNED
46,46,33.333333333333336,2025-05-25 10:11:49.482071,2025-05-25 10:11:55.528142,0 days 00:00:06.046071,AdamW,0.3377546194923831,,,2.5567070303076573e-05,,,,7,,,0.004182037225140581,,PRUNED
47,47,33.333333333333336,2025-05-25 10:11:55.563587,2025-05-25 10:12:01.502093,0 days 00:00:05.938506,AdamW,0.2700674321872577,,,0.09843155468624189,,,,1,,,0.006977152759475859,,PRUNED
48,48,52.083333333333336,2025-05-25 10:12:01.536481,2025-05-25 10:12:12.836386,0 days 00:00:11.299905,AdamW,0.47635514056864386,,,8.517337932324344e-05,,,,2,,,0.0007594162269539257,,COMPLETE
49,49,33.333333333333336,2025-05-25 10:12:12.887522,2025-05-25 10:12:18.811977,0 days 00:00:05.924455,Adadelta,0.22810945242157527,95.61311598960178,,,,,,9,0.5053832131184154,,,,PRUNED
50,50,33.333333333333336,2025-05-25 10:12:18.845915,2025-05-25 10:12:24.874416,0 days 00:00:06.028501,AdamW,0.30571010529365744,,,0.00023986803295775232,,,,6,,,0.0005481854050298365,,PRUNED
51,51,39.583333333333336,2025-05-25 10:12:24.908585,2025-05-25 10:12:33.914960,0 days 00:00:09.006375,AdamW,0.3496152747292197,,,1.7496235054364685e-05,,,,10,,,0.008477824311880081,,PRUNED
52,52,33.333333333333336,2025-05-25 10:12:33.950528,2025-05-25 10:12:39.886074,0 days 00:00:05.935546,AdamW,0.40348821161313086,,,1.809229536404757e-05,,,,9,,,0.007640683012972201,,PRUNED
53,53,35.416666666666664,2025-05-25 10:12:39.922499,2025-05-25 10:12:45.838908,0 days 00:00:05.916409,AdamW,0.34081519500423096,,,4.408351748637256e-05,,,,12,,,0.004948183995043967,,PRUNED
54,54,33.333333333333336,2025-05-25 10:12:45.875502,2025-05-25 10:12:51.845168,0 days 00:00:05.969666,AdamW,0.37170167271628035,,,0.006075013141662347,,,,12,,,0.007139392778998346,,PRUNED
55,55,33.333333333333336,2025-05-25 10:12:51.880532,2025-05-25 10:12:57.848620,0 days 00:00:05.968088,Adam,0.3187231055221246,,0.004698602405888743,,,,,4,,63.58466387206514,,,PRUNED
56,56,,2025-05-25 10:12:57.884519,2025-05-25 10:13:03.318758,0 days 00:00:05.434239,SGD,0.2763569454897993,,,,0.00023157658815185116,51.4427435384869,True,13,,,,2.5777506692584136,PRUNED
57,57,33.333333333333336,2025-05-25 10:13:03.351820,2025-05-25 10:13:09.288583,0 days 00:00:05.936763,AdamW,0.35539339079812593,,,1.0859012588685611e-05,,,,3,,,0.009424211887928972,,PRUNED
58,58,35.416666666666664,2025-05-25 10:13:09.325619,2025-05-25 10:13:15.235211,0 days 00:00:05.909592,AdamW,0.4499293572956007,,,1.9641884514913177e-05,,,,10,,,0.00035772904575805033,,PRUNED
59,59,35.416666666666664,2025-05-25 10:13:15.277955,2025-05-25 10:13:20.238339,0 days 00:00:04.960384,AdamW,0.20030847381596745,,,3.7747281447285965e-05,,,,11,,,0.003252735112359871,,PRUNED
60,60,33.333333333333336,2025-05-25 10:13:20.266164,2025-05-25 10:13:22.799896,0 days 00:00:02.533732,Adam,0.3915110758236399,,0.07228331346383857,,,,,8,,8.159831276618172,,,PRUNED
61,61,37.5,2025-05-25 10:13:22.835895,2025-05-25 10:13:28.764583,0 days 00:00:05.928688,AdamW,0.060081162471842586,,,1.8400854321079385e-05,,,,6,,,0.0007849816411577329,,PRUNED
62,62,33.333333333333336,2025-05-25 10:13:28.801618,2025-05-25 10:13:34.731985,0 days 00:00:05.930367,AdamW,0.061895683265833015,,,2.9002098321430805e-05,,,,5,,,0.0009670047463120651,,PRUNED
63,63,54.166666666666664,2025-05-25 10:13:34.767645,2025-05-25 10:13:44.796653,0 days 00:00:10.029008,AdamW,0.036271608961891875,,,1.5052155964180895e-05,,,,6,,,0.002131477765889883,,COMPLETE
64,64,56.25,2025-05-25 10:13:44.848796,2025-05-25 10:13:50.022812,0 days 00:00:05.174016,AdamW,0.09338354387010711,,,1.2382618749940406e-05,,,,4,,,0.0022840467191810147,,COMPLETE
65,65,52.083333333333336,2025-05-25 10:13:50.063680,2025-05-25 10:14:00.459795,0 days 00:00:10.396115,AdamW,0.0032934025783225435,,,1.3767342248962932e-05,,,,7,,,0.0022473818277994385,,COMPLETE
66,66,35.416666666666664,2025-05-25 10:14:00.512729,2025-05-25 10:14:06.454942,0 days 00:00:05.942213,AdamW,0.09344033378132248,,,6.508403987143022e-05,,,,4,,,0.0014556750807833323,,PRUNED
67,67,37.5,2025-05-25 10:14:06.490052,2025-05-25 10:14:12.421200,0 days 00:00:05.931148,AdamW,0.01855057443841264,,,1.4737753805963336e-05,,,,3,,,0.0018318063188928785,,PRUNED
68,68,37.5,2025-05-25 10:14:12.539145,2025-05-25 10:14:18.583882,0 days 00:00:06.044737,AdamW,0.11532701429346986,,,1.0249581696721652e-05,,,,6,,,0.002485383330117164,,PRUNED
69,69,33.333333333333336,2025-05-25 10:14:18.619488,2025-05-25 10:14:24.693972,0 days 00:00:06.074484,Adadelta,0.0376904974401916,0.24925247345003218,,,,,,3,8.396148259479292,,,,PRUNED
70,70,,2025-05-25 10:14:24.728617,2025-05-25 10:14:30.008825,0 days 00:00:05.280208,SGD,0.08609923215062332,,,,0.00022589205489563976,24.761212396917543,True,5,,,,1.1072077330342096,PRUNED
71,71,35.416666666666664,2025-05-25 10:14:30.042996,2025-05-25 10:14:35.973485,0 days 00:00:05.930489,AdamW,0.32369908934691966,,,1.7465927850336876e-05,,,,4,,,0.0033287626209043313,,PRUNED
72,72,33.333333333333336,2025-05-25 10:14:36.007430,2025-05-25 10:14:42.028731,0 days 00:00:06.021301,AdamW,0.08023620085536892,,,4.303529128267128e-05,,,,4,,,0.005515741256031156,,PRUNED
73,73,33.333333333333336,2025-05-25 10:14:42.064795,2025-05-25 10:14:47.989464,0 days 00:00:05.924669,AdamW,0.12374531995276114,,,1.4113744383444599e-05,,,,7,,,0.001508053935598339,,PRUNED
74,74,33.333333333333336,2025-05-25 10:14:48.025689,2025-05-25 10:14:54.032960,0 days 00:00:06.007271,AdamW,0.24975796855185664,,,2.6567987806512207e-05,,,,9,,,0.0099233219042989,,PRUNED
75,75,37.5,2025-05-25 10:14:54.067523,2025-05-25 10:15:00.046026,0 days 00:00:05.978503,AdamW,0.49854393606930536,,,5.1063219653636536e-05,,,,1,,,0.0025533054192827752,,PRUNED
