,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
28,28,33.333333333333336,2025-05-25 21:23:55.218191,2025-05-25 21:24:04.043568,0 days 00:00:08.825377,AdamW,0.30561467741412063,,,0.08418841767904232,,,,1,,,0.0005114187209362978,,PRUNED
29,29,31.25,2025-05-25 21:24:04.097573,2025-05-25 21:24:12.613007,0 days 00:00:08.515434,Adadelta,0.34314542310861634,0.0163326397242079,,,,,,3,0.010094931633979147,,,,PRUNED
30,30,33.333333333333336,2025-05-25 21:24:12.664390,2025-05-25 21:24:21.964695,0 days 00:00:09.300305,Adam,0.2523571380476008,,0.0017837062520581533,,,,,2,,0.21363197307902107,,,PRUNED
31,31,56.25,2025-05-25 21:24:22.016404,2025-05-25 21:24:48.337866,0 days 00:00:26.321462,AdamW,0.1967278050286843,,,0.00024799380826424905,,,,1,,,0.0010313264380231188,,COMPLETE
32,32,52.083333333333336,2025-05-25 21:24:48.384313,2025-05-25 21:25:14.930000,0 days 00:00:26.545687,AdamW,0.17086797610957505,,,0.0002454295838796298,,,,1,,,0.0007548862205185658,,COMPLETE
33,33,39.583333333333336,2025-05-25 21:25:14.976427,2025-05-25 21:25:24.222815,0 days 00:00:09.246388,AdamW,0.12238683374516404,,,0.00016198617484004398,,,,0,,,0.000310130684656636,,PRUNED
34,34,39.583333333333336,2025-05-25 21:25:24.253488,2025-05-25 21:25:32.754747,0 days 00:00:08.501259,AdamW,0.18725727277258086,,,0.0020514326586732984,,,,5,,,0.0010539265897610665,,PRUNED
35,35,37.5,2025-05-25 21:25:32.804767,2025-05-25 21:25:41.604280,0 days 00:00:08.799513,AdamW,0.230218350806608,,,4.8734984220654607e-05,,,,2,,,0.0034753952537148213,,PRUNED
36,36,29.166666666666668,2025-05-25 21:25:41.636268,2025-05-25 21:25:50.943331,0 days 00:00:09.307063,Adadelta,0.06535665944916182,0.18196467231102068,,,,,,3,0.5979116257704502,,,,PRUNED
37,37,58.333333333333336,2025-05-25 21:25:50.993904,2025-05-25 21:26:17.273388,0 days 00:00:26.279484,AdamW,0.274331413203147,,,0.0004766916451540554,,,,0,,,0.0007781211636834589,,COMPLETE
38,38,25.0,2025-05-25 21:26:17.320319,2025-05-25 21:26:26.615525,0 days 00:00:09.295206,Adam,0.2840364087344631,,1.0959162285180438e-05,,,,,0,,7.601795022689259,,,PRUNED
39,39,,2025-05-25 21:26:26.664065,2025-05-25 21:26:34.324387,0 days 00:00:07.660322,SGD,0.3516604219722991,,,,0.05754842223228842,41.912623562096805,True,0,,,,0.012786327231311106,PRUNED
40,40,31.25,2025-05-25 21:26:34.355898,2025-05-25 21:26:41.735263,0 days 00:00:07.379365,AdamW,0.3879272588803762,,,0.0005654204401653112,,,,8,,,0.00046730644876514057,,PRUNED
41,41,58.333333333333336,2025-05-25 21:26:41.778740,2025-05-25 21:27:08.247411,0 days 00:00:26.468671,AdamW,0.27436015791342777,,,0.00030804125779561407,,,,1,,,0.0008265376586658506,,COMPLETE
42,42,39.583333333333336,2025-05-25 21:27:08.296077,2025-05-25 21:27:17.394063,0 days 00:00:09.097986,AdamW,0.27083141838752606,,,0.001106765796122211,,,,0,,,0.0013071668172368804,,PRUNED
43,43,37.5,2025-05-25 21:27:17.448743,2025-05-25 21:27:26.451842,0 days 00:00:09.003099,AdamW,0.3006884374836473,,,0.00011391161721159664,,,,2,,,0.0007199252326323379,,PRUNED
44,44,41.666666666666664,2025-05-25 21:27:26.506102,2025-05-25 21:27:38.424784,0 days 00:00:11.918682,AdamW,0.33399255413624607,,,0.0004021799832606918,,,,1,,,0.0003477237108437519,,PRUNED
45,45,33.333333333333336,2025-05-25 21:27:38.477726,2025-05-25 21:27:47.047071,0 days 00:00:08.569345,AdamW,0.21713152449899054,,,0.0017859440651664137,,,,2,,,0.0022176865770851782,,PRUNED
46,46,33.333333333333336,2025-05-25 21:27:47.131389,2025-05-25 21:27:56.557388,0 days 00:00:09.425999,Adam,0.4322720171024576,,0.013684017976145506,,,,,1,,0.09665940411672941,,,PRUNED
47,47,33.333333333333336,2025-05-25 21:27:56.608199,2025-05-25 21:28:05.548479,0 days 00:00:08.940280,Adadelta,0.24379646748543782,98.43155468624178,,,,,,4,5.267252528532205,,,,PRUNED
48,48,,2025-05-25 21:28:05.594629,2025-05-25 21:28:13.677799,0 days 00:00:08.083170,SGD,0.3670638359092233,,,,0.00027789999796458707,40.21422937874007,False,0,,,,2.3260636558383525,PRUNED
49,49,39.583333333333336,2025-05-25 21:28:13.709391,2025-05-25 21:28:22.252678,0 days 00:00:08.543287,AdamW,0.2732190744384836,,,9.51657524829703e-05,,,,5,,,0.0006999594307033838,,PRUNED
50,50,37.5,2025-05-25 21:28:22.300540,2025-05-25 21:28:30.919134,0 days 00:00:08.618594,Adam,0.29059357798217944,,0.0003830997984674836,,,,,6,,7.431390775723365,,,PRUNED
51,51,37.5,2025-05-25 21:28:30.950245,2025-05-25 21:28:39.638386,0 days 00:00:08.688141,AdamW,0.22020278320744943,,,0.00023055785833756733,,,,1,,,0.0008615107477674688,,PRUNED
52,52,62.5,2025-05-25 21:28:39.691096,2025-05-25 21:29:05.493235,0 days 00:00:25.802139,AdamW,0.18317312569284674,,,0.000322657298374375,,,,2,,,0.0011687979880386046,,COMPLETE
53,53,60.416666666666664,2025-05-25 21:29:05.540897,2025-05-25 21:29:31.799254,0 days 00:00:26.258357,AdamW,0.25985706130841246,,,0.0004329036298474916,,,,2,,,0.0012888642216000792,,COMPLETE
54,54,33.333333333333336,2025-05-25 21:29:31.846392,2025-05-25 21:29:40.661583,0 days 00:00:08.815191,AdamW,0.32666088957603356,,,0.0010368668453255906,,,,2,,,0.0012785316264712244,,PRUNED
55,55,52.083333333333336,2025-05-25 21:29:40.714858,2025-05-25 21:30:06.977036,0 days 00:00:26.262178,AdamW,0.2766726377512983,,,0.00043745754713666094,,,,3,,,0.0020389980462123666,,COMPLETE
56,56,33.333333333333336,2025-05-25 21:30:07.023006,2025-05-25 21:30:16.259921,0 days 00:00:09.236915,AdamW,0.25551688444652754,,,0.003771777433677031,,,,3,,,0.003311176299436031,,PRUNED
57,57,29.166666666666668,2025-05-25 21:30:16.310282,2025-05-25 21:30:39.103513,0 days 00:00:22.793231,Adam,0.24021352364743842,,5.2695663885402994e-05,,,,,2,,0.569877191386087,,,PRUNED
58,58,33.333333333333336,2025-05-25 21:30:39.159083,2025-05-25 21:30:47.298894,0 days 00:00:08.139811,AdamW,0.19908153134332568,,,0.0004576420425337221,,,,4,,,0.00035248004955329063,,PRUNED
59,59,39.583333333333336,2025-05-25 21:30:47.330415,2025-05-25 21:30:56.323567,0 days 00:00:08.993152,AdamW,0.30527217595162165,,,6.849905332388105e-05,,,,2,,,0.0012790058364558876,,PRUNED
60,60,,2025-05-25 21:30:56.356414,2025-05-25 21:31:03.804562,0 days 00:00:07.448148,SGD,0.14797816368806632,,,,0.00025249330820407544,72.85094504209715,True,1,,,,2.50375389085033,PRUNED
61,61,37.5,2025-05-25 21:31:03.834155,2025-05-25 21:31:12.244812,0 days 00:00:08.410657,AdamW,0.2650291931174219,,,0.00016068493543367463,,,,1,,,0.0005963914645571592,,PRUNED
62,62,43.75,2025-05-25 21:31:12.297509,2025-05-25 21:31:38.381185,0 days 00:00:26.083676,AdamW,0.17858690651309111,,,0.0003377935826580289,,,,0,,,0.0008999135936484314,,COMPLETE
63,63,33.333333333333336,2025-05-25 21:31:38.450385,2025-05-25 21:31:47.339529,0 days 00:00:08.889144,AdamW,0.12112164780579587,,,0.0008560666224974447,,,,2,,,0.001060397587125013,,PRUNED
64,64,31.25,2025-05-25 21:31:47.392493,2025-05-25 21:31:56.727655,0 days 00:00:09.335162,AdamW,0.223738845346677,,,2.84102597305805e-05,,,,1,,,0.0005959983042441794,,PRUNED
65,65,60.416666666666664,2025-05-25 21:31:56.778500,2025-05-25 21:32:22.834349,0 days 00:00:26.055849,AdamW,0.14515411094880076,,,0.00017224850833392403,,,,2,,,0.0013904404478797447,,COMPLETE
66,66,33.333333333333336,2025-05-25 21:32:22.881899,2025-05-25 21:32:32.022451,0 days 00:00:09.140552,Adam,0.09699088754309078,,0.005891542384682673,,,,,3,,0.018170839173709777,,,PRUNED
67,67,29.166666666666668,2025-05-25 21:32:32.054290,2025-05-25 21:32:40.819745,0 days 00:00:08.765455,AdamW,0.486973879508497,,,0.00015400487579081377,,,,2,,,0.0016845699920187789,,PRUNED
68,68,33.333333333333336,2025-05-25 21:32:40.873927,2025-05-25 21:32:49.545736,0 days 00:00:08.671809,Adadelta,0.15345171505202987,0.2462630580105119,,,,,,2,0.10932296104921217,,,,PRUNED
69,69,37.5,2025-05-25 21:32:49.612047,2025-05-25 21:32:58.401344,0 days 00:00:08.789297,AdamW,0.24635603763762345,,,0.0005395408941859551,,,,3,,,0.0013982582222410026,,PRUNED
70,70,27.083333333333332,2025-05-25 21:32:58.433893,2025-05-25 21:33:07.358831,0 days 00:00:08.924938,AdamW,0.0736122232546783,,,7.43482662614633e-05,,,,1,,,0.0027237615999148317,,PRUNED
71,71,33.333333333333336,2025-05-25 21:33:07.409774,2025-05-25 21:33:16.103240,0 days 00:00:08.693466,AdamW,0.20699389022833348,,,0.0002468157818436708,,,,1,,,0.0010930636136713737,,PRUNED
72,72,37.5,2025-05-25 21:33:16.163935,2025-05-25 21:33:24.380798,0 days 00:00:08.216863,AdamW,0.12802434626205805,,,0.00033702208601185484,,,,0,,,0.00041682057945077283,,PRUNED
73,73,37.5,2025-05-25 21:33:24.432736,2025-05-25 21:33:33.303174,0 days 00:00:08.870438,AdamW,0.18826618452260582,,,0.0001622150512900915,,,,1,,,0.0005952025497245145,,PRUNED
74,74,43.75,2025-05-25 21:33:33.354540,2025-05-25 21:33:42.185746,0 days 00:00:08.831206,AdamW,0.16682660903868024,,,0.0007326265591798589,,,,2,,,0.0002372618720988433,,PRUNED
75,75,33.333333333333336,2025-05-25 21:33:42.236815,2025-05-25 21:33:51.015009,0 days 00:00:08.778194,Adam,0.23189459035888293,,0.08314393296759923,,,,,1,,43.254884783895506,,,PRUNED
76,76,37.5,2025-05-25 21:33:51.067237,2025-05-25 21:33:59.601315,0 days 00:00:08.534078,AdamW,0.28919053919675786,,,0.00031095440186041593,,,,2,,,0.008351384033945327,,PRUNED
77,77,33.333333333333336,2025-05-25 21:33:59.654224,2025-05-25 21:34:07.237267,0 days 00:00:07.583043,AdamW,0.14292680436268929,,,0.0013947211051060571,,,,7,,,0.0007873661842082268,,PRUNED
78,78,,2025-05-25 21:34:07.268734,2025-05-25 21:34:16.102058,0 days 00:00:08.833324,SGD,0.26008015523580086,,,,0.07214250502788251,24.455045674575967,False,0,,,,0.23928540272721194,PRUNED
79,79,35.416666666666664,2025-05-25 21:34:16.131907,2025-05-25 21:34:24.653071,0 days 00:00:08.521164,AdamW,0.3160781027175445,,,0.00011589659071732437,,,,0,,,0.0018456442937349912,,PRUNED
80,80,33.333333333333336,2025-05-25 21:34:24.705563,2025-05-25 21:34:33.474089,0 days 00:00:08.768526,Adadelta,0.11419196632515882,13.758288006100575,,,,,,2,6.361406955985204,,,,PRUNED
81,81,52.083333333333336,2025-05-25 21:34:33.505899,2025-05-25 21:34:59.819062,0 days 00:00:26.313163,AdamW,0.18157109064755383,,,0.00020729430355402766,,,,1,,,0.000888681917636766,,COMPLETE
82,82,33.333333333333336,2025-05-25 21:34:59.865240,2025-05-25 21:35:08.861824,0 days 00:00:08.996584,AdamW,0.20148563482961662,,,0.0007037000017429072,,,,1,,,0.0011203238187129357,,PRUNED
83,83,58.333333333333336,2025-05-25 21:35:08.950087,2025-05-25 21:35:35.030694,0 days 00:00:26.080607,AdamW,0.15750077271533938,,,0.0002644092042861376,,,,1,,,0.0006828956167155814,,COMPLETE
84,84,54.166666666666664,2025-05-25 21:35:35.076729,2025-05-25 21:36:00.920549,0 days 00:00:25.843820,AdamW,0.11018770189695612,,,0.0003389847080677844,,,,3,,,0.0006663044522939959,,COMPLETE
85,85,43.75,2025-05-25 21:36:00.962178,2025-05-25 21:36:09.956797,0 days 00:00:08.994619,AdamW,0.16075350470022784,,,0.00019210205266494517,,,,1,,,0.0014830656690572068,,PRUNED
86,86,31.25,2025-05-25 21:36:10.007710,2025-05-25 21:36:18.795766,0 days 00:00:08.788056,Adam,0.14101282300648801,,0.0006137298769434754,,,,,0,,4.665462721540896,,,PRUNED
87,87,31.25,2025-05-25 21:36:18.853688,2025-05-25 21:36:27.385718,0 days 00:00:08.532030,AdamW,0.30025695041533934,,,4.439871140931914e-05,,,,2,,,0.0004252719711600875,,PRUNED
88,88,29.166666666666668,2025-05-25 21:36:27.438101,2025-05-25 21:36:36.134482,0 days 00:00:08.696381,AdamW,0.2115433993801201,,,0.00011968402914634245,,,,1,,,0.0009474817188981735,,PRUNED
89,89,39.583333333333336,2025-05-25 21:36:36.185569,2025-05-25 21:36:45.050501,0 days 00:00:08.864932,AdamW,0.2771914392369695,,,0.0006144444169616947,,,,0,,,0.00011292802388172392,,PRUNED
90,90,35.416666666666664,2025-05-25 21:36:45.102838,2025-05-25 21:36:53.735456,0 days 00:00:08.632618,Adam,0.23680110935720222,,0.0001325063319547591,,,,,3,,0.9372054017532578,,,PRUNED
91,91,56.25,2025-05-25 21:36:53.786704,2025-05-25 21:37:19.659914,0 days 00:00:25.873210,AdamW,0.1736451317329225,,,0.00026848386786776086,,,,1,,,0.0007328848374413715,,COMPLETE
92,92,33.333333333333336,2025-05-25 21:37:19.711978,2025-05-25 21:37:28.141785,0 days 00:00:08.429807,AdamW,0.19106967706147457,,,0.04272425574808944,,,,2,,,0.0012183918470934356,,PRUNED
93,93,37.5,2025-05-25 21:37:28.193876,2025-05-25 21:37:36.742963,0 days 00:00:08.549087,AdamW,0.25277381438938584,,,0.00039435990022925046,,,,1,,,0.0008309112188330834,,PRUNED
94,94,33.333333333333336,2025-05-25 21:37:36.797767,2025-05-25 21:37:45.727803,0 days 00:00:08.930036,AdamW,0.13596892096962523,,,0.00021929971311231435,,,,2,,,0.0005660997101491053,,PRUNED
95,95,41.666666666666664,2025-05-25 21:37:45.779659,2025-05-25 21:37:54.620107,0 days 00:00:08.840448,AdamW,0.15781873451128914,,,8.447163809106372e-05,,,,0,,,0.00097621646801218,,PRUNED
96,96,39.583333333333336,2025-05-25 21:37:54.669135,2025-05-25 21:38:02.749257,0 days 00:00:08.080122,AdamW,0.220450366247194,,,0.00014400104742789342,,,,4,,,0.000677611229442425,,PRUNED
97,97,,2025-05-25 21:38:02.781178,2025-05-25 21:38:09.778087,0 days 00:00:06.996909,SGD,0.281303779338172,,,,0.0012290554852762094,98.84562322926823,True,1,,,,11.766630382687485,PRUNED
98,98,33.333333333333336,2025-05-25 21:38:09.809634,2025-05-25 21:38:18.489313,0 days 00:00:08.679679,AdamW,0.266944891076512,,,0.0005232959168453126,,,,1,,,0.001500528338511934,,PRUNED
99,99,29.166666666666668,2025-05-25 21:38:18.537321,2025-05-25 21:38:26.967090,0 days 00:00:08.429769,Adadelta,0.2928852852736206,0.38106994596996735,,,,,,2,0.04737436389652316,,,,PRUNED
100,100,43.75,2025-05-25 21:38:27.018779,2025-05-25 21:38:35.629320,0 days 00:00:08.610541,AdamW,0.17148699922111504,,,0.0002687697737611978,,,,0,,,0.0004940933136169393,,PRUNED
101,101,64.58333333333333,2025-05-25 21:38:35.661109,2025-05-25 21:39:01.830865,0 days 00:00:26.169756,AdamW,0.1970666953204747,,,0.00045167855220809317,,,,1,,,0.0010002668728517632,,COMPLETE
102,102,35.416666666666664,2025-05-25 21:39:01.877883,2025-05-25 21:39:10.846051,0 days 00:00:08.968168,AdamW,0.19502008385927164,,,0.0004833768758197841,,,,1,,,0.0011058586269598967,,PRUNED
103,103,58.333333333333336,2025-05-25 21:39:10.897151,2025-05-25 21:39:37.270132,0 days 00:00:26.372981,AdamW,0.2119217455827482,,,0.00019319361885436774,,,,1,,,0.0008202892851638026,,COMPLETE
104,104,43.75,2025-05-25 21:39:37.318851,2025-05-25 21:39:46.059209,0 days 00:00:08.740358,AdamW,0.22730696312715457,,,0.00018311274533483577,,,,2,,,0.0007654917400552685,,PRUNED
105,105,58.333333333333336,2025-05-25 21:39:46.110858,2025-05-25 21:40:11.890142,0 days 00:00:25.779284,AdamW,0.25143116120137254,,,0.00039534218558466756,,,,1,,,0.0009271663643965135,,COMPLETE
106,106,22.916666666666668,2025-05-25 21:40:11.937599,2025-05-25 21:40:20.815931,0 days 00:00:08.878332,AdamW,0.24643073364696513,,,0.0011299044286759386,,,,0,,,0.0012528191244263159,,PRUNED
107,107,39.583333333333336,2025-05-25 21:40:20.847621,2025-05-25 21:40:29.456686,0 days 00:00:08.609065,AdamW,0.26317647917114195,,,0.00039326446388646,,,,2,,,0.0009918512341847052,,PRUNED
108,108,37.5,2025-05-25 21:40:29.509079,2025-05-25 21:40:37.772108,0 days 00:00:08.263029,Adam,0.21372452181967067,,5.882583797011807e-05,,,,,1,,0.11639013062336993,,,PRUNED
109,109,45.833333333333336,2025-05-25 21:40:37.824185,2025-05-25 21:41:03.507427,0 days 00:00:25.683242,AdamW,0.23217633538741042,,,0.0003119353970617668,,,,1,,,0.0017368514221337975,,COMPLETE
110,110,33.333333333333336,2025-05-25 21:41:03.554278,2025-05-25 21:41:12.182377,0 days 00:00:08.628099,AdamW,0.23851091864725096,,,0.0007871816346582246,,,,2,,,0.0006508713272161253,,PRUNED
111,111,41.666666666666664,2025-05-25 21:41:12.214455,2025-05-25 21:41:20.926783,0 days 00:00:08.712328,AdamW,0.20481367156347097,,,0.0004394453870755437,,,,1,,,0.0008839273131305546,,PRUNED
112,112,43.75,2025-05-25 21:41:20.977833,2025-05-25 21:41:29.562710,0 days 00:00:08.584877,AdamW,0.25177104635129294,,,0.00012089470814520958,,,,1,,,0.0008085658976484323,,PRUNED
113,113,45.833333333333336,2025-05-25 21:41:29.611066,2025-05-25 21:41:38.134287,0 days 00:00:08.523221,AdamW,0.17959505484146449,,,0.0002533912150886557,,,,1,,,0.0011814924800153932,,PRUNED
114,114,41.666666666666664,2025-05-25 21:41:38.166278,2025-05-25 21:41:46.461269,0 days 00:00:08.294991,AdamW,0.26691337289375217,,,0.00017409124324632727,,,,0,,,0.0005335596691703435,,PRUNED
115,115,39.583333333333336,2025-05-25 21:41:46.513134,2025-05-25 21:41:55.210013,0 days 00:00:08.696879,AdamW,0.15364254920338144,,,6.0729946194530666e-05,,,,1,,,0.0013716930239478734,,PRUNED
116,116,33.333333333333336,2025-05-25 21:41:55.261837,2025-05-25 21:42:03.719637,0 days 00:00:08.457800,AdamW,0.3097033666836516,,,0.0005915270649069655,,,,3,,,0.001013891040602965,,PRUNED
117,117,33.333333333333336,2025-05-25 21:42:03.771729,2025-05-25 21:42:12.337607,0 days 00:00:08.565878,Adam,0.29503880420069717,,0.0024869687456501757,,,,,2,,25.38379747590535,,,PRUNED
118,118,33.333333333333336,2025-05-25 21:42:12.588149,2025-05-25 21:42:20.954587,0 days 00:00:08.366438,AdamW,0.3262060685260867,,,0.00031561863482495995,,,,0,,,0.0007317048196926963,,PRUNED
119,119,,2025-05-25 21:42:21.006778,2025-05-25 21:42:29.394373,0 days 00:00:08.387595,SGD,0.2820352605802762,,,,0.00015923910778871056,66.3346864560537,False,1,,,,0.01676900380494124,PRUNED
120,120,33.333333333333336,2025-05-25 21:42:29.425185,2025-05-25 21:42:38.014515,0 days 00:00:08.589330,AdamW,0.18524307328400472,,,0.008084807583986388,,,,4,,,0.002045601264059846,,PRUNED
121,121,33.333333333333336,2025-05-25 21:42:38.065409,2025-05-25 21:42:46.918930,0 days 00:00:08.853521,AdamW,0.16313610478861057,,,0.000230574847071692,,,,1,,,0.0008935702507808445,,PRUNED
122,122,33.333333333333336,2025-05-25 21:42:46.967413,2025-05-25 21:42:55.221248,0 days 00:00:08.253835,AdamW,0.21235257772901578,,,0.000147648932641207,,,,1,,,0.0006406547924186946,,PRUNED
123,123,33.333333333333336,2025-05-25 21:42:55.273953,2025-05-25 21:43:03.765651,0 days 00:00:08.491698,AdamW,0.19946980236171813,,,0.00045096354754404686,,,,2,,,0.0007996384952511333,,PRUNED
124,124,37.5,2025-05-25 21:43:03.808577,2025-05-25 21:43:12.998336,0 days 00:00:09.189759,AdamW,0.22396065533161352,,,0.0003625718075721201,,,,1,,,0.001030540105606733,,PRUNED
125,125,31.25,2025-05-25 21:43:13.049869,2025-05-25 21:43:21.803804,0 days 00:00:08.753935,Adadelta,0.1752200259906267,0.05492823109582994,,,,,,0,3.5960675349649676,,,,PRUNED
126,126,45.833333333333336,2025-05-25 21:43:21.835210,2025-05-25 21:43:30.503515,0 days 00:00:08.668305,AdamW,0.25813508167326027,,,0.00019729473132410483,,,,1,,,0.00045117472821846436,,PRUNED
127,127,35.416666666666664,2025-05-25 21:43:30.536110,2025-05-25 21:43:38.890925,0 days 00:00:08.354815,AdamW,0.145227392975328,,,0.00027339422586510363,,,,2,,,0.0011643649303146352,,PRUNED
128,128,37.5,2025-05-25 21:43:38.943580,2025-05-25 21:43:47.877006,0 days 00:00:08.933426,AdamW,0.24844683500016243,,,9.611309855960597e-05,,,,1,,,0.0013691712458950627,,PRUNED
