,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
28,28,33.333333333333336,2025-05-24 19:53:24.631994,2025-05-24 19:53:30.970005,0 days 00:00:06.338011,Adadelta,0.162668315042697,71.09750733359516,,,,,,9,0.016987592312017272,,,,PRUNED
29,29,,2025-05-24 19:53:31.006507,2025-05-24 19:53:35.735980,0 days 00:00:04.729473,SGD,0.1137270160167497,,,,1.4839113238339737e-05,95.86041307333699,False,5,,,,18.395730677410548,PRUNED
30,30,37.5,2025-05-24 19:53:35.770761,2025-05-24 19:53:43.832927,0 days 00:00:08.062166,Adadelta,0.054851986160220925,0.012327990271406086,,,,,,5,0.017620822291138413,,,,PRUNED
31,31,31.25,2025-05-24 19:53:43.868993,2025-05-24 19:53:50.552797,0 days 00:00:06.683804,AdamW,0.21774582834198764,,,0.00015556922393711108,,,,3,,,0.0005100138646315249,,PRUNED
32,32,52.083333333333336,2025-05-24 19:53:50.587220,2025-05-24 19:53:57.644153,0 days 00:00:07.056933,AdamW,0.3106452018417596,,,0.00013372501428914556,,,,4,,,0.0008042229918427985,,COMPLETE
33,33,56.25,2025-05-24 19:53:57.694786,2025-05-24 19:54:07.897485,0 days 00:00:10.202699,AdamW,0.32959691156802884,,,0.00010496983073271401,,,,4,,,0.001787102514683261,,COMPLETE
34,34,33.333333333333336,2025-05-24 19:54:07.947443,2025-05-24 19:54:13.456224,0 days 00:00:05.508781,AdamW,0.3532705233244291,,,3.296333301498253e-05,,,,2,,,0.0021120470565226396,,PRUNED
35,35,33.333333333333336,2025-05-24 19:54:13.487645,2025-05-24 19:54:17.343830,0 days 00:00:03.856185,AdamW,0.4410211800025302,,,0.0002715578954121179,,,,3,,,0.003418611760359166,,PRUNED
36,36,33.333333333333336,2025-05-24 19:54:17.377927,2025-05-24 19:54:20.992368,0 days 00:00:03.614441,AdamW,0.32920145344560325,,,0.0008763688657250155,,,,5,,,0.0014107494655111635,,PRUNED
37,37,60.416666666666664,2025-05-24 19:54:21.031816,2025-05-24 19:54:32.227556,0 days 00:00:11.195740,AdamW,0.24213163638377078,,,9.116651935597241e-05,,,,8,,,0.004876306660680413,,COMPLETE
38,38,33.333333333333336,2025-05-24 19:54:32.279838,2025-05-24 19:54:40.407473,0 days 00:00:08.127635,Adadelta,0.23611299890701373,0.18442731888593034,,,,,,8,0.8870445015199778,,,,PRUNED
39,39,31.25,2025-05-24 19:54:40.442522,2025-05-24 19:54:46.429465,0 days 00:00:05.986943,AdamW,0.4005357975967133,,,0.00011630395895252416,,,,6,,,0.005554228917001491,,PRUNED
40,40,33.333333333333336,2025-05-24 19:54:46.465140,2025-05-24 19:54:52.497773,0 days 00:00:06.032633,Adam,0.27441874376716974,,0.009009164563119645,,,,,0,,75.11710625573838,,,PRUNED
41,41,37.5,2025-05-24 19:54:52.534116,2025-05-24 19:55:00.669344,0 days 00:00:08.135228,AdamW,0.24911770870499278,,,5.2586051747649115e-05,,,,7,,,0.0026086594861319916,,PRUNED
42,42,35.416666666666664,2025-05-24 19:55:00.706560,2025-05-24 19:55:06.712221,0 days 00:00:06.005661,AdamW,0.2007543087755224,,,2.1676179921181497e-05,,,,2,,,0.005268354234447596,,PRUNED
43,43,35.416666666666664,2025-05-24 19:55:06.749278,2025-05-24 19:55:12.713913,0 days 00:00:05.964635,AdamW,0.1679724557667166,,,0.000439359220702604,,,,10,,,0.0015910401294010291,,PRUNED
44,44,33.333333333333336,2025-05-24 19:55:12.750164,2025-05-24 19:55:18.733962,0 days 00:00:05.983798,AdamW,0.11851620321400862,,,8.77020008134892e-05,,,,8,,,0.00010488101410479334,,PRUNED
45,45,,2025-05-24 19:55:18.768505,2025-05-24 19:55:24.038601,0 days 00:00:05.270096,SGD,0.2754488689948754,,,,0.07697336416909212,50.556122432111465,False,4,,,,2.1442082563972504,PRUNED
46,46,45.833333333333336,2025-05-24 19:55:24.071995,2025-05-24 19:55:35.137857,0 days 00:00:11.065862,AdamW,0.35990452203068085,,,5.603738692950398e-05,,,,12,,,0.004231801826948771,,PRUNED
47,47,33.333333333333336,2025-05-24 19:55:35.173477,2025-05-24 19:55:41.206992,0 days 00:00:06.033515,AdamW,0.2511633521140649,,,0.09843155468624189,,,,7,,,0.0028227021115732717,,PRUNED
48,48,33.333333333333336,2025-05-24 19:55:41.242583,2025-05-24 19:55:47.308638,0 days 00:00:06.066055,Adam,0.18827870499266822,,0.0015235798237262308,,,,,9,,2.3260636558383525,,,PRUNED
49,49,33.333333333333336,2025-05-24 19:55:47.345518,2025-05-24 19:55:53.389283,0 days 00:00:06.043765,Adadelta,0.22525340894582718,95.61311598960178,,,,,,6,5.561402383017114,,,,PRUNED
50,50,33.333333333333336,2025-05-24 19:55:53.425566,2025-05-24 19:55:59.436368,0 days 00:00:06.010802,AdamW,0.2911452764676224,,,0.00017453865616887576,,,,1,,,0.0009060729113368414,,PRUNED
51,51,33.333333333333336,2025-05-24 19:55:59.474504,2025-05-24 19:56:07.776247,0 days 00:00:08.301743,AdamW,0.3311519005395291,,,0.00012144455675193774,,,,4,,,0.0007659224061154596,,PRUNED
52,52,31.25,2025-05-24 19:56:07.813793,2025-05-24 19:56:13.801781,0 days 00:00:05.987988,AdamW,0.32326871572089244,,,0.00018620050219880145,,,,4,,,0.0006689005879530547,,PRUNED
53,53,58.333333333333336,2025-05-24 19:56:13.838618,2025-05-24 19:56:25.224973,0 days 00:00:11.386355,AdamW,0.41542512410705235,,,8.086623607481011e-05,,,,3,,,0.001722027385775748,,COMPLETE
54,54,31.25,2025-05-24 19:56:25.275536,2025-05-24 19:56:31.334911,0 days 00:00:06.059375,AdamW,0.4602139565981005,,,0.004451391950315021,,,,3,,,0.0017706701573627684,,PRUNED
55,55,27.083333333333332,2025-05-24 19:56:31.373516,2025-05-24 19:56:37.369502,0 days 00:00:05.995986,AdamW,0.4236056295165567,,,4.07683100108799e-05,,,,10,,,0.001136756765468184,,PRUNED
56,56,,2025-05-24 19:56:37.405926,2025-05-24 19:56:42.719896,0 days 00:00:05.313970,SGD,0.15995606418950817,,,,0.0002436806705604994,51.4427435384869,True,1,,,,0.010401039998830923,PRUNED
