"angle","trial","accuracy","epoch"
"-10",360,0.430555555555556,1
"-100",360,0.375,1
"-105",360,0.372222222222222,1
"-110",360,0.361111111111111,1
"-115",360,0.355555555555556,1
"-120",360,0.347222222222222,1
"-125",360,0.341666666666667,1
"-130",360,0.347222222222222,1
"-135",360,0.336111111111111,1
"-140",360,0.325,1
"-145",360,0.330555555555556,1
"-15",360,0.458333333333333,1
"-150",360,0.336111111111111,1
"-155",360,0.369444444444444,1
"-160",360,0.338888888888889,1
"-165",360,0.347222222222222,1
"-170",360,0.377777777777778,1
"-175",360,0.377777777777778,1
"-180",360,0.366666666666667,1
"-20",360,0.45,1
"-25",360,0.455555555555556,1
"-30",360,0.45,1
"-35",360,0.441666666666667,1
"-40",360,0.436111111111111,1
"-45",360,0.425,1
"-5",360,0.413888888888889,1
"-50",360,0.425,1
"-55",360,0.419444444444444,1
"-60",360,0.411111111111111,1
"-65",360,0.416666666666667,1
"-70",360,0.411111111111111,1
"-75",360,0.391666666666667,1
"-80",360,0.386111111111111,1
"-85",360,0.369444444444444,1
"-90",360,0.366666666666667,1
"-95",360,0.372222222222222,1
"0",360,0.397222222222222,1
"10",360,0.402777777777778,1
"100",360,0.361111111111111,1
"105",360,0.361111111111111,1
"110",360,0.355555555555556,1
"115",360,0.338888888888889,1
"120",360,0.35,1
"125",360,0.344444444444444,1
"130",360,0.35,1
"135",360,0.352777777777778,1
"140",360,0.344444444444444,1
"145",360,0.355555555555556,1
"15",360,0.408333333333333,1
"150",360,0.358333333333333,1
"155",360,0.358333333333333,1
"160",360,0.344444444444444,1
"165",360,0.347222222222222,1
"170",360,0.347222222222222,1
"175",360,0.35,1
"180",360,0.369444444444444,1
"20",360,0.405555555555556,1
"25",360,0.402777777777778,1
"30",360,0.397222222222222,1
"35",360,0.383333333333333,1
"40",360,0.375,1
"45",360,0.377777777777778,1
"5",360,0.408333333333333,1
"50",360,0.372222222222222,1
"55",360,0.366666666666667,1
"60",360,0.363888888888889,1
"65",360,0.372222222222222,1
"70",360,0.369444444444444,1
"75",360,0.377777777777778,1
"80",360,0.375,1
"85",360,0.366666666666667,1
"90",360,0.363888888888889,1
"95",360,0.363888888888889,1
"-10",360,0.597222222222222,2
"-100",360,0.413888888888889,2
"-105",360,0.391666666666667,2
"-110",360,0.388888888888889,2
"-115",360,0.375,2
"-120",360,0.361111111111111,2
"-125",360,0.363888888888889,2
"-130",360,0.352777777777778,2
"-135",360,0.347222222222222,2
"-140",360,0.347222222222222,2
"-145",360,0.347222222222222,2
"-15",360,0.602777777777778,2
"-150",360,0.35,2
"-155",360,0.372222222222222,2
"-160",360,0.375,2
"-165",360,0.388888888888889,2
"-170",360,0.397222222222222,2
"-175",360,0.413888888888889,2
"-180",360,0.402777777777778,2
"-20",360,0.613888888888889,2
"-25",360,0.655555555555556,2
"-30",360,0.666666666666667,2
"-35",360,0.655555555555556,2
"-40",360,0.65,2
"-45",360,0.630555555555556,2
"-5",360,0.583333333333333,2
"-50",360,0.627777777777778,2
"-55",360,0.611111111111111,2
"-60",360,0.577777777777778,2
"-65",360,0.527777777777778,2
"-70",360,0.486111111111111,2
"-75",360,0.466666666666667,2
"-80",360,0.447222222222222,2
"-85",360,0.427777777777778,2
"-90",360,0.425,2
"-95",360,0.411111111111111,2
"0",360,0.566666666666667,2
"10",360,0.555555555555556,2
"100",360,0.413888888888889,2
"105",360,0.411111111111111,2
"110",360,0.394444444444444,2
"115",360,0.377777777777778,2
"120",360,0.394444444444444,2
"125",360,0.386111111111111,2
"130",360,0.377777777777778,2
"135",360,0.391666666666667,2
"140",360,0.386111111111111,2
"145",360,0.402777777777778,2
"15",360,0.583333333333333,2
"150",360,0.402777777777778,2
"155",360,0.422222222222222,2
"160",360,0.405555555555556,2
"165",360,0.377777777777778,2
"170",360,0.394444444444444,2
"175",360,0.402777777777778,2
"180",360,0.402777777777778,2
"20",360,0.611111111111111,2
"25",360,0.613888888888889,2
"30",360,0.605555555555556,2
"35",360,0.588888888888889,2
"40",360,0.561111111111111,2
"45",360,0.558333333333333,2
"5",360,0.555555555555556,2
"50",360,0.525,2
"55",360,0.505555555555556,2
"60",360,0.486111111111111,2
"65",360,0.469444444444444,2
"70",360,0.463888888888889,2
"75",360,0.441666666666667,2
"80",360,0.436111111111111,2
"85",360,0.427777777777778,2
"90",360,0.408333333333333,2
"95",360,0.397222222222222,2
"-10",360,0.602777777777778,3
"-100",360,0.383333333333333,3
