"angle","trial","accuracy","epoch"
"-10",360,0.497222222222222,1
"-100",360,0.419444444444444,1
"-105",360,0.402777777777778,1
"-110",360,0.380555555555556,1
"-115",360,0.344444444444444,1
"-120",360,0.344444444444444,1
"-125",360,0.35,1
"-130",360,0.344444444444444,1
"-135",360,0.355555555555556,1
"-140",360,0.361111111111111,1
"-145",360,0.355555555555556,1
"-15",360,0.536111111111111,1
"-150",360,0.347222222222222,1
"-155",360,0.322222222222222,1
"-160",360,0.35,1
"-165",360,0.355555555555556,1
"-170",360,0.375,1
"-175",360,0.397222222222222,1
"-180",360,0.397222222222222,1
"-20",360,0.583333333333333,1
"-25",360,0.594444444444444,1
"-30",360,0.616666666666667,1
"-35",360,0.597222222222222,1
"-40",360,0.583333333333333,1
"-45",360,0.577777777777778,1
"-5",360,0.477777777777778,1
"-50",360,0.563888888888889,1
"-55",360,0.569444444444444,1
"-60",360,0.558333333333333,1
"-65",360,0.533333333333333,1
"-70",360,0.525,1
"-75",360,0.505555555555556,1
"-80",360,0.488888888888889,1
"-85",360,0.469444444444444,1
"-90",360,0.447222222222222,1
"-95",360,0.436111111111111,1
"0",360,0.461111111111111,1
"10",360,0.480555555555556,1
"100",360,0.397222222222222,1
"105",360,0.405555555555556,1
"110",360,0.4,1
"115",360,0.411111111111111,1
"120",360,0.433333333333333,1
"125",360,0.425,1
"130",360,0.436111111111111,1
"135",360,0.433333333333333,1
"140",360,0.441666666666667,1
"145",360,0.455555555555556,1
"15",360,0.469444444444444,1
"150",360,0.45,1
"155",360,0.441666666666667,1
"160",360,0.411111111111111,1
"165",360,0.430555555555556,1
"170",360,0.430555555555556,1
"175",360,0.419444444444444,1
"180",360,0.397222222222222,1
"20",360,0.472222222222222,1
"25",360,0.491666666666667,1
"30",360,0.511111111111111,1
"35",360,0.494444444444444,1
"40",360,0.488888888888889,1
"45",360,0.483333333333333,1
"5",360,0.475,1
"50",360,0.469444444444444,1
"55",360,0.461111111111111,1
"60",360,0.447222222222222,1
"65",360,0.438888888888889,1
"70",360,0.436111111111111,1
"75",360,0.413888888888889,1
"80",360,0.413888888888889,1
"85",360,0.408333333333333,1
"90",360,0.4,1
"95",360,0.391666666666667,1
"-10",360,0.761111111111111,2
"-100",360,0.472222222222222,2
"-105",360,0.441666666666667,2
"-110",360,0.413888888888889,2
"-115",360,0.386111111111111,2
"-120",360,0.383333333333333,2
"-125",360,0.372222222222222,2
"-130",360,0.383333333333333,2
"-135",360,0.380555555555556,2
"-140",360,0.391666666666667,2
"-145",360,0.363888888888889,2
"-15",360,0.833333333333333,2
"-150",360,0.355555555555556,2
"-155",360,0.355555555555556,2
"-160",360,0.366666666666667,2
"-165",360,0.408333333333333,2
"-170",360,0.466666666666667,2
"-175",360,0.480555555555556,2
"-180",360,0.519444444444444,2
"-20",360,0.861111111111111,2
"-25",360,0.883333333333333,2
"-30",360,0.908333333333333,2
"-35",360,0.911111111111111,2
"-40",360,0.877777777777778,2
"-45",360,0.847222222222222,2
"-5",360,0.722222222222222,2
"-50",360,0.833333333333333,2
"-55",360,0.808333333333333,2
"-60",360,0.766666666666667,2
"-65",360,0.719444444444444,2
"-70",360,0.663888888888889,2
"-75",360,0.636111111111111,2
"-80",360,0.608333333333333,2
"-85",360,0.577777777777778,2
"-90",360,0.536111111111111,2
"-95",360,0.5,2
"0",360,0.705555555555556,2
"10",360,0.658333333333333,2
"100",360,0.455555555555556,2
"105",360,0.475,2
"110",360,0.488888888888889,2
"115",360,0.525,2
"120",360,0.544444444444444,2
"125",360,0.55,2
"130",360,0.547222222222222,2
"135",360,0.55,2
"140",360,0.577777777777778,2
"145",360,0.591666666666667,2
"15",360,0.680555555555556,2
"150",360,0.608333333333333,2
"155",360,0.583333333333333,2
"160",360,0.563888888888889,2
"165",360,0.561111111111111,2
"170",360,0.555555555555556,2
"175",360,0.533333333333333,2
"180",360,0.519444444444444,2
"20",360,0.697222222222222,2
"25",360,0.761111111111111,2
"30",360,0.772222222222222,2
"35",360,0.763888888888889,2
"40",360,0.719444444444444,2
"45",360,0.691666666666667,2
"5",360,0.688888888888889,2
"50",360,0.683333333333333,2
"55",360,0.666666666666667,2
"60",360,0.608333333333333,2
"65",360,0.583333333333333,2
"70",360,0.544444444444444,2
"75",360,0.519444444444444,2
"80",360,0.483333333333333,2
"85",360,0.469444444444444,2
"90",360,0.469444444444444,2
"95",360,0.463888888888889,2
"-10",360,0.916666666666667,3
"-100",360,0.483333333333333,3
"-105",360,0.455555555555556,3
"-110",360,0.413888888888889,3
"-115",360,0.397222222222222,3
"-120",360,0.397222222222222,3
"-125",360,0.411111111111111,3
"-130",360,0.422222222222222,3
"-135",360,0.436111111111111,3
"-140",360,0.441666666666667,3
"-145",360,0.436111111111111,3
"-15",360,0.95,3
"-150",360,0.458333333333333,3
"-155",360,0.452777777777778,3
"-160",360,0.425,3
"-165",360,0.433333333333333,3
"-170",360,0.480555555555556,3
"-175",360,0.488888888888889,3
"-180",360,0.522222222222222,3
"-20",360,0.969444444444444,3
"-25",360,0.972222222222222,3
"-30",360,0.980555555555556,3
"-35",360,0.980555555555556,3
"-40",360,0.977777777777778,3
"-45",360,0.966666666666667,3
"-5",360,0.883333333333333,3
"-50",360,0.938888888888889,3
"-55",360,0.916666666666667,3
"-60",360,0.894444444444444,3
"-65",360,0.855555555555556,3
"-70",360,0.819444444444444,3
"-75",360,0.75,3
"-80",360,0.711111111111111,3
"-85",360,0.669444444444444,3
"-90",360,0.597222222222222,3
"-95",360,0.527777777777778,3
"0",360,0.872222222222222,3
"10",360,0.808333333333333,3
"100",360,0.563888888888889,3
"105",360,0.580555555555556,3
"110",360,0.577777777777778,3
"115",360,0.588888888888889,3
"120",360,0.608333333333333,3
"125",360,0.611111111111111,3
"130",360,0.588888888888889,3
"135",360,0.605555555555556,3
"140",360,0.655555555555556,3
"145",360,0.666666666666667,3
"15",360,0.825,3
"150",360,0.675,3
"155",360,0.619444444444444,3
"160",360,0.594444444444444,3
"165",360,0.594444444444444,3
"170",360,0.594444444444444,3
"175",360,0.563888888888889,3
"180",360,0.522222222222222,3
"20",360,0.852777777777778,3
"25",360,0.894444444444444,3
"30",360,0.908333333333333,3
"35",360,0.897222222222222,3
"40",360,0.875,3
"45",360,0.875,3
"5",360,0.836111111111111,3
"50",360,0.855555555555556,3
"55",360,0.802777777777778,3
"60",360,0.75,3
"65",360,0.697222222222222,3
"70",360,0.675,3
"75",360,0.666666666666667,3
"80",360,0.613888888888889,3
"85",360,0.6,3
"90",360,0.561111111111111,3
"95",360,0.566666666666667,3
"-10",360,0.944444444444444,4
"-100",360,0.458333333333333,4
"-105",360,0.427777777777778,4
"-110",360,0.402777777777778,4
"-115",360,0.391666666666667,4
"-120",360,0.366666666666667,4
"-125",360,0.375,4
"-130",360,0.388888888888889,4
"-135",360,0.402777777777778,4
"-140",360,0.422222222222222,4
"-145",360,0.375,4
"-15",360,0.955555555555556,4
"-150",360,0.366666666666667,4
"-155",360,0.377777777777778,4
"-160",360,0.377777777777778,4
"-165",360,0.394444444444444,4
"-170",360,0.433333333333333,4
"-175",360,0.461111111111111,4
"-180",360,0.527777777777778,4
"-20",360,0.972222222222222,4
"-25",360,0.980555555555556,4
"-30",360,0.994444444444444,4
"-35",360,0.997222222222222,4
"-40",360,0.986111111111111,4
"-45",360,0.975,4
"-5",360,0.927777777777778,4
"-50",360,0.961111111111111,4
"-55",360,0.930555555555556,4
"-60",360,0.908333333333333,4
"-65",360,0.844444444444444,4
