"angle","trial","accuracy","epoch"
"-10",360,0.483333333333333,1
"-100",360,0.391666666666667,1
"-105",360,0.380555555555556,1
"-110",360,0.388888888888889,1
"-115",360,0.372222222222222,1
"-120",360,0.375,1
"-125",360,0.344444444444444,1
"-130",360,0.327777777777778,1
"-135",360,0.325,1
"-140",360,0.338888888888889,1
"-145",360,0.327777777777778,1
"-15",360,0.483333333333333,1
"-150",360,0.319444444444444,1
"-155",360,0.35,1
"-160",360,0.369444444444444,1
"-165",360,0.380555555555556,1
"-170",360,0.388888888888889,1
"-175",360,0.386111111111111,1
"-180",360,0.402777777777778,1
"-20",360,0.497222222222222,1
"-25",360,0.475,1
"-30",360,0.486111111111111,1
"-35",360,0.469444444444444,1
"-40",360,0.469444444444444,1
"-45",360,0.452777777777778,1
"-5",360,0.472222222222222,1
"-50",360,0.425,1
"-55",360,0.436111111111111,1
"-60",360,0.419444444444444,1
"-65",360,0.413888888888889,1
"-70",360,0.419444444444444,1
"-75",360,0.416666666666667,1
"-80",360,0.405555555555556,1
"-85",360,0.408333333333333,1
"-90",360,0.391666666666667,1
"-95",360,0.386111111111111,1
"0",360,0.469444444444444,1
"10",360,0.491666666666667,1
"100",360,0.375,1
"105",360,0.366666666666667,1
"110",360,0.363888888888889,1
"115",360,0.361111111111111,1
"120",360,0.366666666666667,1
"125",360,0.377777777777778,1
"130",360,0.383333333333333,1
"135",360,0.380555555555556,1
"140",360,0.363888888888889,1
"145",360,0.361111111111111,1
"15",360,0.494444444444444,1
"150",360,0.366666666666667,1
"155",360,0.366666666666667,1
"160",360,0.372222222222222,1
"165",360,0.363888888888889,1
"170",360,0.391666666666667,1
"175",360,0.411111111111111,1
"180",360,0.402777777777778,1
"20",360,0.530555555555556,1
"25",360,0.536111111111111,1
"30",360,0.525,1
"35",360,0.502777777777778,1
"40",360,0.461111111111111,1
"45",360,0.455555555555556,1
"5",360,0.480555555555556,1
"50",360,0.461111111111111,1
"55",360,0.455555555555556,1
"60",360,0.461111111111111,1
"65",360,0.441666666666667,1
"70",360,0.430555555555556,1
"75",360,0.425,1
"80",360,0.408333333333333,1
"85",360,0.402777777777778,1
"90",360,0.397222222222222,1
"95",360,0.394444444444444,1
"-10",360,0.780555555555556,2
"-100",360,0.552777777777778,2
"-105",360,0.513888888888889,2
"-110",360,0.491666666666667,2
"-115",360,0.466666666666667,2
"-120",360,0.430555555555556,2
"-125",360,0.4,2
"-130",360,0.375,2
"-135",360,0.369444444444444,2
"-140",360,0.388888888888889,2
"-145",360,0.35,2
